coverage_val,crb_sum,logdet,max_uncertainty,mean_uncertainty,round,select_ms,selector
4.8253,0.08038,71.1427,0.8226,0.2921,0,0.8655,scout
1.4614,0.16249,66.9574,0.0,0.0,1,0.8145,scout
0.0,0.09334,69.0571,0.0,0.0,2,0.8566,scout
0.0,0.08467,70.7381,0.0,0.0,3,0.9251,scout
0.0,0.10747,68.7747,0.0,0.0,4,0.9009,scout
0.0,0.09038,69.632,0.0,0.0,5,0.8355,scout
0.0,0.09834,68.8837,0.0,0.0,6,0.8494,scout
0.0,0.09945,69.5048,0.0,0.0,7,0.8235,scout
0.0,0.11131,68.5898,0.0,0.0,8,0.9042,scout
0.0,0.08467,70.7381,0.0,0.0,9,0.8537,scout
0.0,0.09334,69.0571,0.0,0.0,10,0.8748,scout
0.0,0.0997,69.3642,0.0,0.0,11,0.8487,scout
0.0,0.11743,67.8475,0.0,0.0,12,0.8034,scout
0.0,0.09641,69.3879,0.0214,0.0024,13,0.8313,scout
0.0162,0.13459,68.6495,0.0,0.0,14,0.8577,scout
0.0,0.10079,69.3941,0.0,0.0,15,0.8775,scout
0.0,0.09891,68.9257,0.0,0.0,16,0.8542,scout
0.0,0.1065,69.2611,0.0,0.0,17,0.8077,scout
0.0,0.10236,69.3287,0.0,0.0,18,0.9874,scout
0.0,0.09945,69.5048,0.0,0.0,19,0.8565,scout
0.0,0.12683,67.5508,0.0215,0.0024,20,0.836,scout
0.0162,0.13459,68.6495,0.0,0.0,21,0.7564,scout
0.0,0.13231,66.408,0.0,0.0,22,0.821,scout
0.0,0.10079,69.3941,0.0,0.0,23,0.81,scout
0.0,0.1037,69.5223,0.0,0.0,24,0.8321,scout
0.0,0.13107,67.683,0.0,0.0,25,0.8779,scout
0.0,0.09038,69.632,0.0,0.0,26,0.8919,scout
0.0,0.10462,69.9206,0.0,0.0,27,0.8109,scout
0.0,0.1065,69.2611,0.0,0.0,28,0.9206,scout
0.0,0.09834,68.8837,0.0,0.0,29,0.9596,scout
0.0,0.10079,69.3941,0.0,0.0,30,0.9327,scout
0.0,0.09334,69.0571,0.0,0.0,31,0.8692,scout
0.0,0.08467,70.7381,0.0,0.0,32,0.8639,scout
0.0,0.11131,68.5898,0.0,0.0,33,0.8718,scout
0.0,0.09038,69.632,0.0,0.0,34,0.8483,scout
0.0,0.09834,68.8837,0.0,0.0,35,0.8547,scout
0.0,0.09945,69.5048,0.0,0.0,36,0.9972,scout
0.0,0.09891,68.9257,0.0,0.0,37,0.8803,scout
0.0,0.0997,69.3642,0.0,0.0,38,0.8918,scout
0.0,0.09334,69.0571,0.0,0.0,39,1.089,scout
0.0,0.08467,70.7381,0.0,0.0,40,0.8513,scout
0.0,0.10747,68.7747,0.0,0.0,41,0.859,scout
0.0,0.10935,68.4905,0.0,0.0,42,0.8265,scout
0.0,0.09641,69.3879,0.0214,0.0024,43,0.8301,scout
0.0162,0.13459,68.6495,0.0,0.0,44,0.7779,scout
0.0,0.1065,69.2611,0.0,0.0,45,0.8708,scout
0.0,0.11131,68.5898,0.0,0.0,46,1.0515,scout
0.0,0.09945,69.5048,0.0,0.0,47,0.9865,scout
0.0,0.09334,69.0571,0.0,0.0,48,0.9406,scout
0.0,0.08467,70.7381,0.0,0.0,49,0.8933,scout
4.5096,0.09205,71.4806,0.8435,0.3631,0,0.4007,sensing_only
0.5438,0.09205,71.4806,0.6995,0.2883,1,0.3917,sensing_only
0.4296,0.09205,71.4806,0.567,0.2194,2,0.3862,sensing_only
0.3245,0.09205,71.4806,0.4451,0.1561,3,0.3893,sensing_only
0.2278,0.09205,71.4806,0.333,0.0978,4,0.385,sensing_only
0.1389,0.09205,71.4806,0.2298,0.0484,5,0.3927,sensing_only
0.0641,0.09205,71.4806,0.1349,0.0266,6,0.3937,sensing_only
0.0352,0.09205,71.4806,0.0476,0.0069,7,0.4,sensing_only
0.0091,0.09205,71.4806,0.0,0.0,8,0.4218,sensing_only
0.0,0.09205,71.4806,0.0,0.0,9,0.4076,sensing_only
0.0,0.09205,71.4806,0.0,0.0,10,0.3906,sensing_only
0.0,0.09205,71.4806,0.0,0.0,11,0.3984,sensing_only
0.0,0.09205,71.4806,0.0,0.0,12,0.4181,sensing_only
0.0,0.09205,71.4806,0.0,0.0,13,0.4014,sensing_only
0.0,0.09205,71.4806,0.0,0.0,14,0.4385,sensing_only
0.0,0.09205,71.4806,0.0,0.0,15,0.3869,sensing_only
0.0,0.09205,71.4806,0.0,0.0,16,0.3978,sensing_only
0.0,0.09205,71.4806,0.0,0.0,17,0.3974,sensing_only
0.0,0.09205,71.4806,0.0,0.0,18,0.3953,sensing_only
0.0,0.09205,71.4806,0.0,0.0,19,0.4122,sensing_only
0.0,0.09205,71.4806,0.0,0.0,20,0.3945,sensing_only
0.0,0.09205,71.4806,0.0,0.0,21,0.3979,sensing_only
0.0,0.09205,71.4806,0.0,0.0,22,0.3921,sensing_only
0.0,0.09205,71.4806,0.0,0.0,23,0.4075,sensing_only
0.0,0.09205,71.4806,0.0,0.0,24,0.4099,sensing_only
0.0,0.09205,71.4806,0.0,0.0,25,0.3953,sensing_only
0.0,0.09205,71.4806,0.0,0.0,26,0.3999,sensing_only
0.0,0.09205,71.4806,0.0,0.0,27,0.417,sensing_only
0.0,0.09205,71.4806,0.0,0.0,28,0.3975,sensing_only
0.0,0.09205,71.4806,0.0,0.0,29,0.4023,sensing_only
0.0,0.09205,71.4806,0.0,0.0,30,0.3916,sensing_only
0.0,0.09205,71.4806,0.0,0.0,31,0.4024,sensing_only
0.0,0.09205,71.4806,0.0,0.0,32,0.4086,sensing_only
0.0,0.09205,71.4806,0.0,0.0,33,0.3956,sensing_only
0.0,0.09205,71.4806,0.0,0.0,34,0.3952,sensing_only
0.0,0.09205,71.4806,0.0,0.0,35,0.3926,sensing_only
0.0,0.09205,71.4806,0.0,0.0,36,0.4135,sensing_only
0.0,0.09205,71.4806,0.0,0.0,37,0.3723,sensing_only
0.0,0.09205,71.4806,0.0,0.0,38,0.3726,sensing_only
0.0,0.09205,71.4806,0.0,0.0,39,0.38,sensing_only
0.0,0.09205,71.4806,0.0,0.0,40,0.374,sensing_only
0.0,0.09205,71.4806,0.0,0.0,41,0.372,sensing_only
0.0,0.09205,71.4806,0.0,0.0,42,0.3925,sensing_only
0.0,0.09205,71.4806,0.0,0.0,43,0.3711,sensing_only
0.0,0.09205,71.4806,0.0,0.0,44,0.3738,sensing_only
0.0,0.09205,71.4806,0.0,0.0,45,0.4054,sensing_only
0.0,0.09205,71.4806,0.0,0.0,46,0.3778,sensing_only
0.0,0.09205,71.4806,0.0,0.0,47,0.3712,sensing_only
0.0,0.09205,71.4806,0.0,0.0,48,0.3734,sensing_only
0.0,0.09205,71.4806,0.0,0.0,49,0.3715,sensing_only
4.5096,0.09205,71.4806,0.8435,0.3631,0,0.2787,snr_only
0.5438,0.09205,71.4806,0.6995,0.2883,1,0.0062,snr_only
0.4296,0.09205,71.4806,0.567,0.2194,2,0.0065,snr_only
0.3245,0.09205,71.4806,0.4451,0.1561,3,0.0029,snr_only
0.2278,0.09205,71.4806,0.333,0.0978,4,0.0027,snr_only
0.1389,0.09205,71.4806,0.2298,0.0484,5,0.0029,snr_only
0.0641,0.09205,71.4806,0.1349,0.0266,6,0.0027,snr_only
