coverage_val,crb_sum,logdet,max_uncertainty,mean_uncertainty,round,select_ms,selector
4.8253,0.08038,71.1427,0.8226,0.2921,0,1.061,scout
1.4614,0.16249,66.9574,0.0,0.0,1,0.8227,scout
0.0,0.09334,69.0571,0.0,0.0,2,0.8451,scout
0.0,0.08467,70.7381,0.0,0.0,3,0.8359,scout
0.0,0.10747,68.7747,0.0,0.0,4,0.8531,scout
0.0,0.09038,69.632,0.0,0.0,5,0.8516,scout
0.0,0.09834,68.8837,0.0,0.0,6,0.8679,scout
0.0,0.09945,69.5048,0.0,0.0,7,0.8371,scout
0.0,0.11131,68.5898,0.0,0.0,8,0.8688,scout
0.0,0.08467,70.7381,0.0,0.0,9,0.8547,scout
0.0,0.09334,69.0571,0.0,0.0,10,0.887,scout
0.0,0.0997,69.3642,0.0,0.0,11,0.8793,scout
0.0,0.11743,67.8475,0.0,0.0,12,0.8153,scout
0.0,0.09641,69.3879,0.0214,0.0024,13,0.8547,scout
0.0162,0.13459,68.6495,0.0,0.0,14,0.8145,scout
0.0,0.10079,69.3941,0.0,0.0,15,0.8779,scout
0.0,0.09891,68.9257,0.0,0.0,16,0.8649,scout
0.0,0.1065,69.2611,0.0,0.0,17,0.8051,scout
0.0,0.10236,69.3287,0.0,0.0,18,1.0673,scout
0.0,0.09945,69.5048,0.0,0.0,19,0.8595,scout
0.0,0.12683,67.5508,0.0215,0.0024,20,0.8589,scout
0.0162,0.13459,68.6495,0.0,0.0,21,0.8377,scout
0.0,0.13231,66.408,0.0,0.0,22,0.839,scout
0.0,0.10079,69.3941,0.0,0.0,23,0.8179,scout
0.0,0.1037,69.5223,0.0,0.0,24,0.8415,scout
0.0,0.13107,67.683,0.0,0.0,25,0.8171,scout
0.0,0.09038,69.632,0.0,0.0,26,0.8379,scout
0.0,0.10462,69.9206,0.0,0.0,27,0.8566,scout
0.0,0.1065,69.2611,0.0,0.0,28,0.8806,scout
0.0,0.09834,68.8837,0.0,0.0,29,0.88,scout
0.0,0.10079,69.3941,0.0,0.0,30,0.86,scout
0.0,0.09334,69.0571,0.0,0.0,31,0.8828,scout
0.0,0.08467,70.7381,0.0,0.0,32,0.9042,scout
0.0,0.11131,68.5898,0.0,0.0,33,0.8831,scout
0.0,0.09038,69.632,0.0,0.0,34,0.8822,scout
0.0,0.09834,68.8837,0.0,0.0,35,0.8793,scout
0.0,0.09945,69.5048,0.0,0.0,36,0.9324,scout
0.0,0.09891,68.9257,0.0,0.0,37,0.8695,scout
0.0,0.0997,69.3642,0.0,0.0,38,0.8342,scout
0.0,0.09334,69.0571,0.0,0.0,39,0.8821,scout
0.0,0.08467,70.7381,0.0,0.0,40,0.8554,scout
0.0,0.10747,68.7747,0.0,0.0,41,0.8692,scout
0.0,0.10935,68.4905,0.0,0.0,42,0.8338,scout
0.0,0.09641,69.3879,0.0214,0.0024,43,0.9903,scout
0.0162,0.13459,68.6495,0.0,0.0,44,0.8854,scout
0.0,0.1065,69.2611,0.0,0.0,45,1.0482,scout
0.0,0.11131,68.5898,0.0,0.0,46,0.8451,scout
0.0,0.09945,69.5048,0.0,0.0,47,0.9663,scout
0.0,0.09334,69.0571,0.0,0.0,48,0.9617,scout
0.0,0.08467,70.7381,0.0,0.0,49,0.9053,scout
4.5096,0.09205,71.4806,0.8435,0.3631,0,0.3883,sensing_only
0.5438,0.09205,71.4806,0.6995,0.2883,1,0.3832,sensing_only
0.4296,0.09205,71.4806,0.567,0.2194,2,0.379,sensing_only
0.3245,0.09205,71.4806,0.4451,0.1561,3,0.3777,sensing_only
0.2278,0.09205,71.4806,0.333,0.0978,4,0.3845,sensing_only
0.1389,0.09205,71.4806,0.2298,0.0484,5,0.3751,sensing_only
